! time                    mass_defect             defect_inventory        sink_inventory          leak_inventory          edge_inventory          
  2.400000000000000E+002 -1.898481372109018E-014  1.615313566462545E-001  1.161022691107543E-001  0.000000000000000E+000 -2.776336257570278E-001
  2.600000000000000E+002 -1.981748098955904E-014  2.713545226527796E-001  1.137216088405058E-001  0.000000000000000E+000 -3.850761314933052E-001
  2.800000000000000E+002 -2.098321516541546E-014  3.810636722606910E-001  1.112651743410253E-001  0.000000000000000E+000 -4.923288466017373E-001
  3.000000000000000E+002 -2.242650509742816E-014  4.906226746669117E-001  1.087411164031754E-001  0.000000000000000E+000 -5.993637910701095E-001
  3.200000000000000E+002 -2.275957200481571E-014  6.000032356862615E-001  1.061563534236604E-001  0.000000000000000E+000 -7.061595891099447E-001
  3.400000000000000E+002 -2.386979502944087E-014  7.091825046366631E-001  1.035168838170283E-001  0.000000000000000E+000 -8.126993884537153E-001
  3.600000000000000E+002 -2.031708135064036E-014  8.181417829317152E-001  1.008279652405376E-001  0.000000000000000E+000 -9.189697481722732E-001
  3.800000000000000E+002 -2.065014825802791E-014  9.268656766571616E-001  9.809423899793801E-002  0.000000000000000E+000 -1.024959915655120E+000
  4.000000000000000E+002 -2.398081733190338E-014  1.035341478362543E+000  9.531982509975651E-002  0.000000000000000E+000 -1.130661303462323E+000
  4.200000000000000E+002 -2.553512956637860E-014  1.143558692973741E+000  9.250839809820582E-002  0.000000000000000E+000 -1.236067091071972E+000
  4.400000000000000E+002 -1.798561299892754E-014  1.251508664911761E+000  8.966324888591597E-002  0.000000000000000E+000 -1.341171913797695E+000
  4.600000000000000E+002 -2.042810365310288E-014  1.359184280152944E+000  8.678733572315257E-002  0.000000000000000E+000 -1.445971615876117E+000
  4.800000000000000E+002 -2.020605904817785E-014  1.466579725297355E+000  8.388332679272961E-002  0.000000000000000E+000 -1.550463052090105E+000
  5.000000000000000E+002 -2.287059430727822E-014  1.573690290738974E+000  8.095363598956005E-002  0.000000000000000E+000 -1.654643926728556E+000
  5.200000000000000E+002 -1.953992523340276E-014  1.680512208398714E+000  7.800045324550955E-002  0.000000000000000E+000 -1.758512661644243E+000
  5.400000000000000E+002 -1.554312234475219E-014  1.787042516852216E+000  7.502577039657729E-002  0.000000000000000E+000 -1.862068287248809E+000
  5.600000000000000E+002 -1.931788062847772E-014  1.893278948395915E+000  7.203140338165850E-002  0.000000000000000E+000 -1.965310351777593E+000
  5.800000000000000E+002 -1.776356839400250E-014  1.999219833849809E+000  6.901901139810770E-002  0.000000000000000E+000 -2.068238845247935E+000
